"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\supplier\service\validationSchema\supplierValidationSchema.js", "JavaScript", 0, 34, 0, 0, 0, 1, 5, 40
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\Dimensions.jsx", "JavaScript JSX", 0, 0, 0, 61, 0, 0, 3, 64
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\GlobalFilter.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\Result.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\TableColumn.jsx", "JavaScript JSX", 0, 0, 0, 93, 0, 0, 14, 107
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupItem.jsx", "JavaScript JSX", 0, 0, 0, 101, 0, 0, 6, 107
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupItemDetails.jsx", "JavaScript JSX", 0, 0, 0, 81, 0, 0, 7, 88
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupList.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 3, 76
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupModal_ADD.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 1, 8, 146
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolGroupModal_EDIT.jsx", "JavaScript JSX", 0, 0, 0, 92, 0, 0, 7, 99
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolList.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 3, 42, 254
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolModal_ADD.jsx", "JavaScript JSX", 0, 0, 0, 198, 0, 0, 8, 206
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\ToolModal_EDIT.jsx", "JavaScript JSX", 0, 0, 0, 196, 0, 0, 6, 202
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\tool\css\Result.module.css", "CSS", 3, 0, 0, 0, 0, 0, 1, 4
